gene	experiment	cloneid
PBANKA_103440	met30	NA
PBANKA_103780	met30	NA
PBANKA_110420	met30	NA
PBANKA_110960	met30	PbGEM-334955
PBANKA_111250	met30	PbGEM-299283
PBANKA_111290	met30	PbGEM-299347
PBANKA_111450	met30	PbGEM-299483
PBANKA_111520	met30	PbGEM-335099
PBANKA_111590	met30	PbGEM-335139
PBANKA_111640	met30	PbGEM-299675
PBANKA_120950	met30	PbGEM-304778
PBANKA_120970	met30	PbGEM-336299
PBANKA_121000	met30	PbGEM-304850
PBANKA_121200	met30	PbGEM-336387
PBANKA_121320	met30	PbGEM-336427
PBANKA_121330	met30	NA
PBANKA_121380	met30	PbGEM-305410
PBANKA_121590	met30	PbGEM-336523
PBANKA_121630	met30	PbGEM-336539
PBANKA_130490	met30	PbGEM-310607
PBANKA_130670	met30	PbGEM-337539
PBANKA_131050	met30	PbGEM-311343
PBANKA_131100	met30	PbGEM-311399
PBANKA_131260	met30	PbGEM-311597
PBANKA_140160	met30	NA
PBANKA_140860	met30	PbGEM-319595
PBANKA_140890	met30	PbGEM-339579
PBANKA_140970	met30	PbGEM-339603
PBANKA_141010	met30	PbGEM-339627
PBANKA_141070	met30	PbGEM-319915
PBANKA_141120	met30	PbGEM-319995
PBANKA_141240	met30	PbGEM-320099
PBANKA_141250	met30	PbGEM-339707
PBANKA_141590	met30	PbGEM-320435
PBANKA_031410	met31	240868
PBANKA_041380	met31	240776
PBANKA_041420	met31	239584
PBANKA_041640	met31	239802
PBANKA_041810	met31	239839
PBANKA_051490	met31	NA
PBANKA_051500	met31	NA
PBANKA_051610	met31	240694
PBANKA_051710	met31	239715
PBANKA_051830	met31	240986
PBANKA_052010	met31	240730
PBANKA_061490	met31	240779
PBANKA_061530	met31	239600
PBANKA_061650	met31	244035
PBANKA_061730	met31	240896
PBANKA_061840	met31	240724
PBANKA_061870	met31	240913
PBANKA_062110	met31	241032
PBANKA_062200	met31	240765
PBANKA_071450	met31	239582
PBANKA_071540	met31	239589
PBANKA_072020	met31	240812
PBANKA_072100	met31	240729
PBANKA_081410	met31	239606
PBANKA_081470	met31	240696
PBANKA_081780	met31	239656
PBANKA_081800	met31	244040
PBANKA_081840	met31	240728
PBANKA_081850	met31	244138
PBANKA_081940	met31	240835
PBANKA_082130	met31	240863
PBANKA_082220	met31	244171
PBANKA_082440	met31	244201
PBANKA_082540	met31	244115
PBANKA_091250	met31	239577
PBANKA_091300	met31	239678
PBANKA_091400	met31	239690
PBANKA_091490	met31	240692
PBANKA_091650	met31	240702
PBANKA_091780	met31	240903
PBANKA_092040	met31	240754
PBANKA_092100	met31	240760
PBANKA_101430	met31	239695
PBANKA_101470	met31	239612
PBANKA_101570	met31	240700
PBANKA_101650	met31	239638
PBANKA_101780	met31	241005
PBANKA_101935	met31	240744
PBANKA_102100	met31	240958
PBANKA_102120	met31	244158
PBANKA_102210	met31	244073
PBANKA_102380	met31	244095
PBANKA_102450	met31	244202
PBANKA_103440	met31	NA
PBANKA_103780	met31	NA
PBANKA_110420	met31	NA
PBANKA_111270	met31	240681
PBANKA_111690	met31	239804
PBANKA_111730	met31	239623
PBANKA_111820	met31	239633
PBANKA_111850	met31	239639
PBANKA_111900	met31	239747
PBANKA_112050	met31	244046
PBANKA_112080	met31	240927
PBANKA_112150	met31	241025
PBANKA_112460	met31	244087
PBANKA_121470	met31	239587
PBANKA_121790	met31	239816
PBANKA_122140	met31	244058
PBANKA_122260	met31	240769
PBANKA_122270	met31	244064
PBANKA_122300	met31	244162
PBANKA_122400	met31	244177
PBANKA_122510	met31	244101
PBANKA_130980	met31	239661
PBANKA_131440	met31	240783
PBANKA_131450	met31	239601
PBANKA_131490	met31	239610
PBANKA_131520	met31	239714
PBANKA_131610	met31	239634
PBANKA_131630	met31	240705
PBANKA_131670	met31	239642
PBANKA_131940	met31	240752
PBANKA_132010	met31	244059
PBANKA_132040	met31	240952
PBANKA_132100	met31	244068
PBANKA_132130	met31	244076
PBANKA_132220	met31	244183
PBANKA_132320	met31	244197
PBANKA_140160	met31	NA
PBANKA_141640	met31	239608
PBANKA_141700	met31	240698
PBANKA_141790	met31	240703
PBANKA_141800	met31	239635
PBANKA_141860	met31	239923
PBANKA_142040	met31	244141
PBANKA_142050	met31	240743
PBANKA_142120	met31	240757
PBANKA_142340	met31	244168
PBANKA_142540	met31	244100
PBANKA_142570	met31	244107
PBANKA_051490	met32	NA
PBANKA_051500	met32	NA
PBANKA_052200	met32	PbGEM-276450
PBANKA_052210	met32	PbGEM-329851
PBANKA_061930	met32	PbGEM-279306
PBANKA_062280	met32	PbGEM-279810
PBANKA_082250	met32	PbGEM-285202
PBANKA_082460	met32	PbGEM-331819
PBANKA_082700	met32	PbGEM-285682
PBANKA_082820	met32	PbGEM-285842
PBANKA_082920	met32	PbGEM-285930
PBANKA_082930	met32	PbGEM-285946
PBANKA_082940	met32	PbGEM-285962
PBANKA_083240	met32	PbGEM-286338
PBANKA_083280	met32	PbGEM-286394
PBANKA_083510	met32	PbGEM-332107
PBANKA_083570	met32	PbGEM-286754
PBANKA_092470	met32	PbGEM-332795
PBANKA_092500	met32	PbGEM-289969
PBANKA_092710	met32	PbGEM-290304
PBANKA_092930	met32	PbGEM-290656
PBANKA_093010	met32	PbGEM-332955
PBANKA_093040	met32	PbGEM-290800
PBANKA_093330	met32	PbGEM-291160
PBANKA_093470	met32	PbGEM-291376
PBANKA_093550	met32	PbGEM-333099
PBANKA_093640	met32	PbGEM-291520
PBANKA_101580	met32	PbGEM-333891
PBANKA_101900	met32	PbGEM-294982
PBANKA_102220	met32	PbGEM-295406
PBANKA_102400	met32	PbGEM-334099
PBANKA_102480	met32	PbGEM-295742
PBANKA_102720	met32	PbGEM-334219
PBANKA_102730	met32	PbGEM-296110
PBANKA_103020	met32	PbGEM-334307
PBANKA_103040	met32	PbGEM-334315
PBANKA_103050	met32	PbGEM-296422
PBANKA_103100	met32	PbGEM-296510
PBANKA_103120	met32	PbGEM-296526
PBANKA_103140	met32	PbGEM-296542
PBANKA_103150	met32	PbGEM-296558
PBANKA_103200	met32	PbGEM-334347
PBANKA_103280	met32	PbGEM-296766
PBANKA_103330	met32	PbGEM-334403
PBANKA_103380	met32	PbGEM-334443
PBANKA_103440	met32	NA
PBANKA_103460	met32	PbGEM-334467
PBANKA_103780	met32	NA
PBANKA_103850	met32	PbGEM-297446
PBANKA_110420	met32	NA
PBANKA_112380	met32	PbGEM-300667
PBANKA_112730	met32	PbGEM-335483
PBANKA_112890	met32	PbGEM-301306
PBANKA_113240	met32	PbGEM-335691
PBANKA_113590	met32	PbGEM-335779
PBANKA_113660	met32	PbGEM-302282
PBANKA_113800	met32	PbGEM-302450
PBANKA_122750	met32	PbGEM-307282
PBANKA_122780	met32	PbGEM-307298
PBANKA_122960	met32	PbGEM-307522
PBANKA_123030	met32	PbGEM-336947
PBANKA_123060	met32	PbGEM-336955
PBANKA_123070	met32	PbGEM-336963
PBANKA_123190	met32	PbGEM-307834
PBANKA_123200	met32	PbGEM-337019
PBANKA_123280	met32	PbGEM-337027
PBANKA_123340	met32	PbGEM-308114
PBANKA_123380	met32	PbGEM-337075
PBANKA_123460	met32	PbGEM-308290
PBANKA_123550	met32	PbGEM-308386
PBANKA_123830	met32	PbGEM-308649
PBANKA_131690	met32	PbGEM-312173
PBANKA_132650	met32	PbGEM-338131
PBANKA_132750	met32	PbGEM-313605
PBANKA_132760	met32	PbGEM-313621
PBANKA_132840	met32	PbGEM-313709
PBANKA_132860	met32	PbGEM-313741
PBANKA_132900	met32	PbGEM-313781
PBANKA_133260	met32	PbGEM-338307
PBANKA_133650	met32	PbGEM-314709
PBANKA_133700	met32	PbGEM-338427
PBANKA_133750	met32	PbGEM-338459
PBANKA_140160	met32	NA
PBANKA_142080	met32	PbGEM-339899
PBANKA_142580	met32	PbGEM-321659
PBANKA_142610	met32	PbGEM-321675
PBANKA_142790	met32	PbGEM-321795
PBANKA_142840	met32	PbGEM-321907
PBANKA_143070	met32	PbGEM-322179
PBANKA_143110	met32	PbGEM-340115
PBANKA_143120	met32	PbGEM-322251
PBANKA_143160	met32	PbGEM-322275
PBANKA_143330	met32	PbGEM-322563
PBANKA_143380	met32	PbGEM-340179
PBANKA_143500	met32	PbGEM-322779
PBANKA_143780	met32	PbGEM-323179
PBANKA_144150	met32	PbGEM-323675
PBANKA_030480	met38	PbGEM-328451
PBANKA_051490	met38	NA
PBANKA_051500	met38	NA
PBANKA_060470	met38	PbGEM-232478
PBANKA_060690	met38	PbGEM-330067
PBANKA_061180	met38	PbGEM-330171
PBANKA_061750	met38	PbGEM-279042
PBANKA_072150	met38	PbGEM-331091
PBANKA_080280	met38	PbGEM-331267
PBANKA_080940	met38	PbGEM-283874
PBANKA_082910	met38	NA
PBANKA_083550	met38	PbGEM-286738
PBANKA_091030	met38	PbGEM-332451
PBANKA_091190	met38	PbGEM-288442
PBANKA_093530	met38	PbGEM-291440
PBANKA_093750	met38	PbGEM-333131
PBANKA_094110	met38	PbGEM-333243
PBANKA_100920	met38	PbGEM-333643
PBANKA_100960	met38	PbGEM-293880
PBANKA_101450	met38	PbGEM-333835
PBANKA_102780	met38	PbGEM-334251
PBANKA_103440	met38	NA
PBANKA_103480	met38	PbGEM-334475
PBANKA_103780	met38	NA
PBANKA_103870	met38	PbGEM-334571
PBANKA_103980	met38	PbGEM-334603
PBANKA_104000	met38	PbGEM-334611
PBANKA_110420	met38	NA
PBANKA_110770	met38	PbGEM-342564
PBANKA_111350	met38	PbGEM-299411
PBANKA_113640	met38	PbGEM-335803
PBANKA_114150	met38	PbGEM-302914
PBANKA_114260	met38	PbGEM-303018
PBANKA_114310	met38	PbGEM-303098
PBANKA_114420	met38	PbGEM-303226
PBANKA_114430	met38	PbGEM-335979
PBANKA_114440	met38	PbGEM-303258
PBANKA_114480	met38	PbGEM-303314
PBANKA_114530	met38	PbGEM-336027
PBANKA_114550	met38	PbGEM-336035
PBANKA_120200	met38	PbGEM-336107
PBANKA_120380	met38	PbGEM-304042
PBANKA_121080	met38	PbGEM-336339
PBANKA_121090	met38	PbGEM-336347
PBANKA_121280	met38	PbGEM-247118
PBANKA_121440	met38	PbGEM-336467
PBANKA_122680	met38	PbGEM-307226
PBANKA_123590	met38	PbGEM-337115
PBANKA_123800	met38	PbGEM-337163
PBANKA_124240	met38	PbGEM-309105
PBANKA_124390	met38	PbGEM-309361
PBANKA_124410	met38	PbGEM-309393
PBANKA_124440	met38	PbGEM-337307
PBANKA_124480	met38	PbGEM-309521
PBANKA_124570	met38	PbGEM-309681
PBANKA_124580	met38	PbGEM-309697
PBANKA_130410	met38	PbGEM-310471
PBANKA_130990	met38	PbGEM-311295
PBANKA_131900	met38	PbGEM-337891
PBANKA_133400	met38	PbGEM-314469
PBANKA_133880	met38	PbGEM-338499
PBANKA_133930	met38	PbGEM-315053
PBANKA_134100	met38	PbGEM-338579
PBANKA_134120	met38	PbGEM-315301
PBANKA_134180	met38	PbGEM-338603
PBANKA_134340	met38	PbGEM-315619
PBANKA_134350	met38	PbGEM-338643
PBANKA_134360	met38	PbGEM-315643
PBANKA_134580	met38	PbGEM-315947
PBANKA_134670	met38	PbGEM-338731
PBANKA_134820	met38	PbGEM-338779
PBANKA_134970	met38	PbGEM-316451
PBANKA_135040	met38	PbGEM-316571
PBANKA_135240	met38	PbGEM-338867
PBANKA_135510	met38	PbGEM-338939
PBANKA_135780	met38	PbGEM-317363
PBANKA_135830	met38	PbGEM-339091
PBANKA_135870	met38	PbGEM-317507
PBANKA_135880	met38	PbGEM-339107
PBANKA_135940	met38	PbGEM-317603
PBANKA_136180	met38	PbGEM-339211
PBANKA_136230	met38	PbGEM-339227
PBANKA_136410	met38	PbGEM-318115
PBANKA_140160	met38	NA
PBANKA_143350	met38	PbGEM-340163
PBANKA_143430	met38	PbGEM-340195
PBANKA_143680	met38	PbGEM-340291
PBANKA_143700	met38	PbGEM-340299
PBANKA_144060	met38	PbGEM-340395
PBANKA_144240	met38	PbGEM-323819
PBANKA_144300	met38	PbGEM-340483
PBANKA_144310	met38	PbGEM-323899
PBANKA_144360	met38	PbGEM-340499
PBANKA_144370	met38	PbGEM-340507
PBANKA_144460	met38	PbGEM-324067
PBANKA_144520	met38	PbGEM-324171
PBANKA_144570	met38	PbGEM-324235
PBANKA_144710	met38	PbGEM-340627
PBANKA_144740	met38	PbGEM-340643
PBANKA_144780	met38	PbGEM-340667
PBANKA_144800	met38	PbGEM-340683
PBANKA_145170	met38	PbGEM-340811
PBANKA_145180	met38	PbGEM-340819
PBANKA_145190	met38	PbGEM-340827
PBANKA_145420	met38	PbGEM-340939
PBANKA_145960	met38	PbGEM-326003
PBANKA_145970	met38	PbGEM-341059
PBANKA_146160	met38	PbGEM-341123
PBANKA_146550	met38	PbGEM-341203
